X,Y,Name,Direcci__n,Localidad,Provincia,Web,Tlf,X,Y,_info,info,n
0.0,0.000000026167978,Camping Playa de Ajo,La Bandera, 1295, 39170, Cantabria,Ajo,Cantabria,campingplayadeajo.com,942 62 12 22,"43,495,251",-3
0.0,0.000000026167978,Camping Playa de Arija,Calle Gran via, 09570 Arija, Burgos,Arija,Burgos,campingplayadearija.com,942 77 33 00,"43,000,582",-394,496
0.0,0.000000026167978,Camping Playa de Vega,Playa de Vega, s/n, 33345 Ribadesella, Asturias,Ribadesella,Asturias,campingplayadevega.com,985 86 04 06,"43,474,854",-5
0.0,0.000000026167978,Camping Playa de Mazarrón,Av. Pedro López Meca, s/n, 30877 Bolnuevo, Murcia,Bolnuevo,Murcia,playamazarron.com,968 15 06 60,"375,630,424",-13
0.0,0.000000026167978,"CAMPING PUIGCERCOS.Camping y alquiler de caravanas en Borredà, Barcelona",Ctra Sant Quirze a, Carrer de Berga, Km 22, 08619 Borredà, Barcelona,Borredá,Barcelona,campingpuigcercos.com,938 23 92 50,"421,312,785"
0.0,0.000000026167978,Camping Rural Ría de Arosa 2,Calle Balteiro, s/n, 15993 Oleiros, C,Oleiros,C,campingriadearousa.com,981 86 59 11,"426,210,634",-89
0.0,0.000000026167978,Camping Ridaura - Llagostera,Càmping Ridaura, Via de Servei, C-65, 17240, Girona,Santa Maria de Solius,Girona,campingridaura.com,639 43 45 57,"418,279,232"
0.0,0.000000026167978,Camping Cañón del Río Lobos,Carretera El Burgo San Leonardo, Km 17, 42317 Ucero, Soria,Ucero,Soria,campingriolobos.es,975 36 35 65,"417,293,452",-30
0.0,0.000000026167978,Camping Roche,Carril de Pilahito, 11149 Roche, Cádiz,Roche,Cádiz,campingroche.com,956 44 22 16,36.3107939,-6.1126746,https://g.page/camping-roche?share
0.0,0.000000026167978,Camping San Javier,Av. de Balsicas, 84, 30730 San Javier, Murcia,San Javier,Murcia,campingsanjavier.com,968 19 10 80,"378,068,824",-0.8455363
