name,city,type
"Orio Kanpina",""Vitoria-Gasteiz",",campsite
"Kampaoh Zumaia",""Vitoria-Gasteiz",",campsite
"Camping Bañares",""Vitoria-Gasteiz",",campsite
"Camping De La Rioja",""Vitoria-Gasteiz",",campsite
"Camping Puerta de Los Montes Obarenes",""Vitoria-Gasteiz",",campsite
"Camping La Playa",""Vitoria-Gasteiz",",campsite
"Plaza de aparcamiento de Caravanas",""Vitoria-Gasteiz",",campsite
"Ariño kamper area",""Vitoria-Gasteiz",",campsite
"Camping Fuenmayor",""Vitoria-Gasteiz",",campsite
"Kampaoh Sierra de Urbasa",""Vitoria-Gasteiz",",campsite
"Camping Artaza-Urederra",""Vitoria-Gasteiz",",campsite
"Camping Navarrete",""Vitoria-Gasteiz",",campsite
"Ibaia kanpina",""Vitoria-Gasteiz",",campsite
"Camping de Haro",""Vitoria-Gasteiz",",campsite
"Agro Camping Invernaderito",""Santa Cruz de Tenerife",",campsite
"Chio Motorhome & Camping Area",""Santa Cruz de Tenerife",",campsite
"Camping Caleta del Sordo",""Santa Cruz de Tenerife",",campsite
"Campamentos Punta Del Sordo",""Santa Cruz de Tenerife",",campsite
"Camping Punta del Hidalgo",""Santa Cruz de Tenerife",",campsite
"Campamento Madre del Agua",""Santa Cruz de Tenerife",",campsite
"Camping Nauta",""Santa Cruz de Tenerife",",campsite
"Zona de acampada "Fuente del Llano"",""Santa Cruz de Tenerife",",campsite
"Zona de Acampada San Miguel de Tajao",""Santa Cruz de Tenerife",",campsite
"Zona De Acampada De Las Raíces",""Santa Cruz de Tenerife",",campsite
"El Lagar",""Santa Cruz de Tenerife",",campsite
"Área de Acampada La Caldera",""Santa Cruz de Tenerife",",campsite
"Open Hearts",""Santa Cruz de Tenerife",",campsite
"Zona De Acampada Las Calderetas",""Santa Cruz de Tenerife",",campsite
"Zona De Acampada De La Tahona",""Santa Cruz de Tenerife",",campsite
"Las Hayas",""Santa Cruz de Tenerife",",campsite
"Barranco de la Arena",""Santa Cruz de Tenerife",",campsite
"Zona camping del Puertito de Güiimar",""Santa Cruz de Tenerife",",campsite
"AREA DESCANSO AUTOCARAVANAS, CAMPER PARKING AREA",""Santa Cruz de Tenerife",",campsite
"TanMper Canarias",""Santa Cruz de Tenerife",",campsite
"Camping Torre del Mar",""Granada",",campsite
"Camping Reina Isabel",""Granada",",campsite
"Villa Del Mar , Camping Nerja",""Granada",",campsite
"Camping El Pino en Málaga, Costa del Sol",""Granada",",campsite
"Camping Ruta del Purche",""Granada",",campsite
"Camping Granada",""Granada",",campsite
"Camping Alto de Viñuelas",""Granada",",campsite
"Area de Autocaravana (Aire)",""Granada",",campsite
"Camping Castillo de Baños",""Granada",",campsite
"Camping Laguna Playa",""Granada",",campsite
"Camping Trevélez",""Granada",",campsite
"Camping Las Lomas",""Granada",",campsite
"NUEVO CAMPING LA HERRADURA",""Granada",",campsite
"Camping Cortijo San Miguel (Nerja)",""Granada",",campsite
"Camping Granada - Los Bermejales",""Granada",",campsite
"Camping Órgiva",""Granada",",campsite
"Camping Tropical",""Granada",",campsite
"El Balcon de Pitres",""Granada",",campsite
"Camping La Herradura",""Granada",",campsite
"Camping Cerro Gordo",""Granada",",campsite
"Camping Villaviciosa Asturias",""Oviedo",",campsite
"Camping Perlora",""Oviedo",",campsite
"Camping Buenavista in Perlora",""Oviedo",",campsite
"Camping el Urogallo",""Oviedo",",campsite
"Somiedo Camper Park",""Oviedo",",campsite
"Kampaoh Deva",""Oviedo",",campsite
"Camping Río Luna",""Oviedo",",campsite
"El Pedreru",""Oviedo",",campsite
"Camping Playa Spain",""Oviedo",",campsite
"Camping Los Arrudos Redes Aventura Caleao",""Oviedo",",campsite
"Camping Las Nieves",""Oviedo",",campsite
"Camping Yolimar",""Oviedo",",campsite
"Camping Deva Gijon",""Oviedo",",campsite
"Kampaoh Castrillón",""Oviedo",",campsite
"Parque Antonio Ortega",""Oviedo",",campsite
"Camping El Rinconín",""Oviedo",",campsite
"Camping Area di sosta camper Banugues-Gozon",""Oviedo",",campsite
"Camping Los Pradones",""Oviedo",",campsite
"Camping Bahinas",""Oviedo",",campsite
"Camping La Pomarada de Somiedo",""Oviedo",",campsite
"Camping As Cabazas",""A Coruña",",campsite
"Camping Aguiar",""A Coruña",",campsite
"Camping A Lagoa",""A Coruña",",campsite
"Camping San Pedro - Sada",""A Coruña",",campsite
"Mar y campo",""A Coruña",",campsite
"Camping O Parral",""A Coruña",",campsite
"Velo Mar Camping en A Coruña",""A Coruña",",campsite
"Camping Fragadeume",""A Coruña",",campsite
"Camping As Nevedas",""A Coruña",",campsite
"Camping Costa da Morte",""A Coruña",",campsite
"Camping Green Village ( As tres meigas )",""A Coruña",",campsite
"camping Ber",""A Coruña",",campsite
"Área de servicio para autocaravanas y caravanas",""A Coruña",",campsite
"Camping Balcobo",""A Coruña",",campsite
"Camping Bastiagueiro",""A Coruña",",campsite
"Camping Martisol",""A Coruña",",campsite
"Camping Castro",""A Coruña",",campsite
"A coruna",""A Coruña",",campsite
"Campamento Turístico Brandoñas (Casa rural, Bungalows, Parking de Caravanas y Camping )",""A Coruña",",campsite
"Camping Perbes",""A Coruña",",campsite
"Camping Ezcaba",""Pamplona",",campsite
"Urbasa Camping",""Pamplona",",campsite
"Eco Camping Arbizu",""Pamplona",",campsite
"Camping Acedo | Camping en Navarra",""Pamplona",",campsite
"Etxarriko Kanpina",""Pamplona",",campsite
"Camping Baztan",""Pamplona",",campsite
"Nomading Camp Navarra",""Pamplona",",campsite
"Camping Ariztigain Navarra",""Pamplona",",campsite
"Camping El Molino",""Pamplona",",campsite
"Camping Lizarra",""Pamplona",",campsite
"Camping Aritzaleku",""Pamplona",",campsite
"Domaine les chalets Larlapean, Camping Pays Basque",""Pamplona",",campsite
"Camping IZARPE Kanpina",""Pamplona",",campsite
"Camping Bachoc à la Ferme Pays Basque",""Pamplona",",campsite
"Kampaoh Mendigorría",""Pamplona",",campsite
"Aralar Kanpina",""Pamplona",",campsite
"Camping Irouleguy",""Pamplona",",campsite
"Camping du fronton",""Pamplona",",campsite
"Camping Iturbero",""Pamplona",",campsite
"Camping El Real",""Pamplona",",campsite
"Camping Los Escullos",""Almería",",campsite
"Camping Alpujarras",""Almería",",campsite
"Camping La Garrofa",""Almería",",campsite
"Camping Roquetas",""Almería",",campsite
"Camping Los Gallardos",""Almería",",campsite
"Camping Las Menas",""Almería",",campsite
"Camping Cabo de Gata",""Almería",",campsite
"Camping Suspension Bridge",""Almería",",campsite
"Camping Las Vegas",""Almería",",campsite
"Kampaoh Los Escullos",""Almería",",campsite
"Roquetas de Mar Camperspot",""Almería",",campsite
"Camp y Niño",""Almería",",campsite
"wecamp Cabo de Gata",""Almería",",campsite
"Camping Albergue Tau",""Almería",",campsite
"Camping Mar Azul Balerma",""Almería",",campsite
RoucettassattecuoR,""Almería",",campsite
"Camping La Molineta",""Almería",",campsite
"Los Gallardos Leisure",""Almería",",campsite
Tabernas,""Almería",",campsite
"Little Texas",""Almería",",campsite
"Camping Igara de San Sebastián",""San Sebastián",",campsite
"Camping Juantcho",""San Sebastián",",campsite
"Gran Camping Zarautz",""San Sebastián",",campsite
"Eco Camping Arbizu",""San Sebastián",",campsite
"Camping & Bungalows Leagi",""San Sebastián",",campsite
"Sunêlia Berrua",""San Sebastián",",campsite
"Etxarriko Kanpina",""San Sebastián",",campsite
"Camping Inter Plages",""San Sebastián",",campsite
"Camping Ferme Erromardie",""San Sebastián",",campsite
"Camping Baztan",""San Sebastián",",campsite
"Camping Oliden",""San Sebastián",",campsite
"Camping Saturraran",""San Sebastián",",campsite
"Orio Kanpina",""San Sebastián",",campsite
"Campéole Ondres Plage",""San Sebastián",",campsite
"Camping Itsas Mendi",""San Sebastián",",campsite
"Camping Galdona",""San Sebastián",",campsite
"Kampaoh Zumaia",""San Sebastián",",campsite
"Camping Ariztigain Navarra",""San Sebastián",",campsite
"Camping Hiriberria",""San Sebastián",",campsite
"Camping la Bord de Mer",""San Sebastián",",campsite
"Bonterra Resort Camping - Bungalows",""Castellón de la Plana",",campsite
"Valencia Camper Park",""Castellón de la Plana",",campsite
"Camping Malvarrosa de Corinto",""Castellón de la Plana",",campsite
"Camping Sierra Calderona",""Castellón de la Plana",",campsite
"CAMPING MONMAR",""Castellón de la Plana",",campsite
"Camping Los Naranjos",""Castellón de la Plana",",campsite
"Bravoplaya Camping Resort",""Castellón de la Plana",",campsite
"Camping Azahar",""Castellón de la Plana",",campsite
"Camping Ferrer",""Castellón de la Plana",",campsite
"Càmping Ribamar",""Castellón de la Plana",",campsite
"Camping Alegría del Mar",""Castellón de la Plana",",campsite
"Camping Edén",""Castellón de la Plana",",campsite
"Camping Tauro",""Castellón de la Plana",",campsite
"Los Olivos de Xivert - Camping Natura Park",""Castellón de la Plana",",campsite
"Camping Puzol Mediterráneo",""Castellón de la Plana",",campsite
"Camping Puzol - Camping Playa",""Castellón de la Plana",",campsite
"Nomadic Valencia Camping Car",""Castellón de la Plana",",campsite
Camping,""Castellón de la Plana",",campsite
"Camping Villa De Viver",""Castellón de la Plana",",campsite
"Camping Torre la Sal",""Castellón de la Plana",",campsite
"Vilanova Park",""Badalona",",campsite
"Camping BARCELONA",""Badalona",",campsite
"Camping 3 Estrelles",""Badalona",",campsite
"Camping Resort Els Pins",""Badalona",",campsite
"Càmping Masnou",""Badalona",",campsite
"Camping Estrella de Mar",""Badalona",",campsite
"Camping Globo Barcelona",""Badalona",",campsite
"Càmping Bon Repòs",""Badalona",",campsite
"Camping Bellsol",""Badalona",",campsite
"Camping El Garrofer",""Badalona",",campsite
"CAMPING ROCA GROSSA & BUNGALOW",""Badalona",",campsite
"Càmping Enmar",""Badalona",",campsite
"Càmping Blanes",""Badalona",",campsite
"Camping Vilanova Y La Geltru",""Badalona",",campsite
"Montserrat Campsite",""Badalona",",campsite
"Camping Capfun Tordera-Nacions",""Badalona",",campsite
"Camping Cal Ferraguet (CAMPING PRIVAT)",""Badalona",",campsite
"Camping Les Piscines de Montseny",""Badalona",",campsite
"Càmping Roca",""Badalona",",campsite
"Camping Touring Mataró",""Badalona",",campsite
"Cayuco Camping Baru",""Cartagena",",campsite
"Eco Camping Lolita, Islas del Rosario",""Cartagena",",campsite
"Camping La Villa Marina",""Cartagena",",campsite
"Club Camping Isla Mar",""Cartagena",",campsite
"Playa Langosta",""Cartagena",",campsite
"Bubble Sea Glamping",""Cartagena",",campsite
"EcoCamping Bosque encantado",""Cartagena",",campsite
"PLAYA LA COBE",""Cartagena",",campsite
"Camping El Eden",""Cartagena",",campsite
"manzanillo playa",""Cartagena",",campsite
"La Pradera Casa Finca",""Cartagena",",campsite
Bae,""Cartagena",",campsite
"Finca Jardin Des Délices",""Cartagena",",campsite
"Colinas Verdes",""Cartagena",",campsite
Chirimia,""Cartagena",",campsite
"PRIMAVERA GLAMPING",""Cartagena",",campsite
"LAS ORQUIDEAS",""Cartagena",",campsite
"Playa del Alma Glamping & Camping",""Cartagena",",campsite
"Ciénaga de Rabón",""Cartagena",",campsite
"Finca la Milagrosa",""Cartagena",",campsite
"Camping Ametlla",""Tarragona",",campsite
"Vilanova Park",""Tarragona",",campsite
"Camping La Pineda de Salou",""Tarragona",",campsite
"Camping Caledonia",""Tarragona",",campsite
"Camping & Resort La Torre del Sol",""Tarragona",",campsite
"Camping Prades Park",""Tarragona",",campsite
"Camping Trillas Spa Tamarit",""Tarragona",",campsite
"Tamarit Beach Resort",""Tarragona",",campsite
"Camping Mar De Cunit",""Tarragona",",campsite
"Camping Montsant Park",""Tarragona",",campsite
"Camping Miramar",""Tarragona",",campsite
"Càmping Platja i Festa",""Tarragona",",campsite
"Camping Montblanc Park Capfun",""Tarragona",",campsite
"Camping Platja Vilanova",""Tarragona",",campsite
"Camping Cala d'Oques",""Tarragona",",campsite
"Camping la Rueda",""Tarragona",",campsite
"Camping Oasis Mar",""Tarragona",",campsite
"Camping Arc de Bara",""Tarragona",",campsite
"Campings Anwb",""Tarragona",",campsite
"Càmping Mas Albà",""Tarragona",",campsite
"Parque de Campismo de Vila Cha",""Vila Nova de Gaia",",campsite
"ORBITUR Canidelo",""Vila Nova de Gaia",",campsite
"GarfePark Camping",""Vila Nova de Gaia",",campsite
